time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,Histogram,MACD,Signal,Plot,Plot,Plot
1651836840,32855,32874,32852,32871,32861.46153846154,32864.69999999993,32857.916666666664,32857.99999999992,173,198.05,3.3330495915873612,-9.795815155368473,-13.128864746955834,-9.795815155368473,-13.128864746955834,3.3330495915873612
1651836900,32871,32879,32859,32860,32860.346153846156,32862.99230769224,32857.75,32857.783333333246,239,203.7,3.3389591457674044,-8.955165814746579,-12.294124960513983,-8.955165814746579,-12.294124960513983,3.3389591457674044
1651836960,32860,32864,32850,32853,32859.11538461538,32861.530769230696,32856.166666666664,32857.36666666658,150,199.35,2.8329889278511704,-8.75288880070002,-11.585877728551191,-8.75288880070002,-11.585877728551191,2.8329889278511704
1651837020,32852,32881,32850,32878,32858.846153846156,32860.41538461531,32858.166666666664,32857.36666666658,268,203.45,4.06841446778637,-6.5003596438182285,-10.568774111604599,-6.5003596438182285,-10.568774111604599,4.06841446778637
1651837080,32880,32884,32872,32884,32859.307692307695,32859.815384615315,32860.5,32858.09999999991,149,202.95,5.108741731987699,-4.182846946619975,-9.291588678607674,-4.182846946619975,-9.291588678607674,5.108741731987699
1651837140,32884,32884,32875,32883,32860.07692307692,32859.53846153839,32862.166666666664,32858.94999999991,141,202.45,5.513881999877759,-2.399236178760475,-7.913118178638234,-2.399236178760475,-7.913118178638234,5.513881999877759
1651837200,32882,32884,32875,32876,32860.692307692305,32859.60769230762,32863.166666666664,32860.033333333246,180,202.35,5.104188006454483,-1.5328831705701305,-6.637071177024613,-1.5328831705701305,-6.637071177024613,5.104188006454483
1651837260,32876,32891,32875,32890,32862.03846153846,32860.19230769224,32865.666666666664,32861.93333333324,173,201.25,5.533785983358033,0.2801613021729281,-5.253624681185105,0.2801613021729281,-5.253624681185105,5.533785983358033
1651837320,32891,32896,32882,32885,32863.230769230766,32861.06923076916,32869.5,32864.1999999999,172,198.3,5.241767441491541,1.2985846206793212,-3.9431828208122197,1.2985846206793212,-3.9431828208122197,5.241767441491541
1651837380,32884,32892,32877,32891,32864.61538461538,32862.130769230695,32873.666666666664,32866.833333333234,128,196.9,5.20280899389298,2.5603284215540043,-2.642480572338975,2.5603284215540043,-2.642480572338975,5.20280899389298
1651837440,32890,32898,32885,32895,32866.38461538462,32863.39230769223,32876.833333333336,32869.76666666657,137,194.4,5.185012395239669,3.8387849217106123,-1.3462274735290571,3.8387849217106123,-1.3462274735290571,5.185012395239669
1651837500,32894,32894,32880,32892,32868.07692307692,32864.86923076915,32879.833333333336,32873.099999999904,100,188.85,4.722871221846948,4.557361553779629,-0.16550966806732004,4.557361553779629,-0.16550966806732004,4.722871221846948
1651837560,32891,32892,32882,32889,32869.269230769234,32866.315384615315,32881.333333333336,32876.23333333324,113,184.35,3.995685302499161,4.829096960056631,0.8334116575574703,4.829096960056631,0.8334116575574703,3.995685302499161
1651837620,32888,32889,32882,32889,32869.92307692308,32867.65384615377,32883.75,32879.08333333324,91,180.75,3.322840775071739,4.986962626397144,1.664121851325405,4.986962626397144,1.664121851325405,3.322840775071739
1651837680,32889,32892,32882,32888,32871.07692307692,32868.94615384609,32886.666666666664,32881.68333333324,102,178.85,2.6479369111996442,4.9740429903249606,2.3261060791253163,4.9740429903249606,2.3261060791253163,2.6479369111996442
1651837740,32889,32889,32878,32878,32871.692307692305,32870.00769230763,32886.666666666664,32883.64999999991,64,174.9,1.4267277127082885,4.109515720010677,2.6827880073023884,4.109515720010677,2.6827880073023884,1.4267277127082885
1651837800,32879,32886,32878,32879,32871.96153846154,32870.784615384546,32886.25,32884.93333333324,80,163.25,0.6258652192431469,3.465119531356322,2.8392543121131752,3.465119531356322,2.8392543121131752,0.6258652192431469
1651837860,32879,32886,32869,32873,32872.692307692305,32871.46923076916,32885.416666666664,32885.749999999905,115,147.8,-0.3176996878621754,2.442129702285456,2.7598293901476314,2.442129702285456,2.7598293901476314,-0.3176996878621754
1651837920,32874,32884,32873,32883,32873.730769230766,32872.23076923069,32886,32886.19999999991,102,140.5,-0.27943774870456206,2.4105322042669286,2.6899699529714907,2.4105322042669286,2.6899699529714907,-0.27943774870456206
1651837980,32883,32886,32875,32885,32874.57692307692,32872.93076923069,32885.583333333336,32885.983333333235,92,138.45,-0.13769593291524052,2.51785003682744,2.6555459697426804,2.51785003682744,2.6555459697426804,-0.13769593291524052
1651838040,32885,32886,32873,32876,32875.03846153846,32873.59999999992,32884.833333333336,32885.61666666657,73,133.45,-0.6402057405108432,1.8552887941041263,2.4954945346149695,1.8552887941041263,2.4954945346149695,-0.6402057405108432
1651838100,32877,32899,32877,32897,32876.46153846154,32874.49999999992,32885.333333333336,32885.43333333324,167,129.85,0.3958114829812134,2.9902588883414865,2.594447405360273,2.9902588883414865,2.594447405360273,0.3958114829812134
1651838160,32898,32905,32889,32890,32878.42307692308,32875.64615384607,32884.916666666664,32885.333333333234,160,130.35,0.554041187209882,3.286998889372626,2.732957702162744,3.286998889372626,2.732957702162744,0.554041187209882
1651838220,32890,32891,32865,32871,32879.57692307692,32876.8153846153,32883.166666666664,32884.76666666657,222,128.05,-0.6132787203735752,1.9663593016957748,2.57963802206935,1.9663593016957748,2.57963802206935,-0.6132787203735752
1651838280,32869,32876,32868,32874,32880.230769230766,32877.94615384607,32881.916666666664,32884.03333333323,149,128.05,-1.1448482157708582,1.1485777523557772,2.2934259681266354,1.1485777523557772,2.2934259681266354,-1.1448482157708582
1651838340,32875,32894,32875,32888,32881.46153846154,32879.230769230686,32881.833333333336,32883.43333333324,127,127.35,-0.5454722753599821,1.6115856239266577,2.15705789928664,1.6115856239266577,2.15705789928664,-0.5454722753599821
1651838400,32889,32895,32880,32889,32882.153846153844,32880.36923076915,32881.916666666664,32882.7499999999,197,128.2,-0.09704831103134515,2.0357475104974583,2.1327958215288034,2.0357475104974583,2.1327958215288034,-0.09704831103134515
1651838460,32890,32894,32887,32889,32883.269230769234,32881.338461538384,32882.833333333336,32882.333333333234,117,125.4,0.16965828283356243,2.3448686750707566,2.175210392237194,2.3448686750707566,2.175210392237194,0.16965828283356243
1651838520,32888,32899,32887,32890,32884.692307692305,32882.36153846145,32883.75,32882.4499999999,132,123.4,0.37191772725492145,2.640107551305846,2.2681898240509244,2.640107551305846,2.2681898240509244,0.37191772725492145
1651838580,32889,32904,32889,32902,32885.61538461538,32883.43846153838,32886.166666666664,32883.2999999999,153,124.65,1.2243267989170339,3.7985983226972166,2.5742715237801828,3.7985983226972166,2.5742715237801828,1.2243267989170339
1651838640,32901,32914,32901,32908,32886.53846153846,32884.45384615377,32888.25,32884.583333333234,146,125.1,2.0538558980326687,5.141591396321019,3.08773549828835,5.141591396321019,3.08773549828835,2.0538558980326687
1651838700,32908,32909,32891,32895,32887,32885.423076923,32889.083333333336,32886.01666666657,142,127.2,1.6083422219316983,5.098163275702973,3.4898210537712746,5.098163275702973,3.4898210537712746,1.6083422219316983
1651838760,32895,32903,32893,32896,32887.769230769234,32886.32307692299,32890.75,32887.599999999904,103,126.7,1.2767925552681776,5.085811747856496,3.809019192588319,5.085811747856496,3.809019192588319,1.2767925552681776
1651838820,32897,32915,32896,32912,32888.61538461538,32887.10769230761,32892,32889.249999999905,207,132.5,1.9884085920226005,6.29452993261657,4.306121340593969,6.29452993261657,4.306121340593969,1.9884085920226005
1651838880,32911,32925,32911,32919,32889.92307692308,32887.96923076915,32894.416666666664,32890.89999999991,231,138.95,2.7376656339114955,7.728203382983338,4.9905377490718426,7.728203382983338,4.9905377490718426,2.7376656339114955
1651838940,32920,32932,32919,32924,32891.192307692305,32888.89999999992,32898.833333333336,32893.01666666657,122,141.85,3.3373630149758853,9.1622415177917,5.824878502815814,9.1622415177917,5.824878502815814,3.3373630149758853
1651839000,32924,32928,32918,32925,32892.346153846156,32889.96923076915,32903.083333333336,32895.81666666657,128,144.25,3.5490049897660754,10.261134740023408,6.712129750257333,10.261134740023408,6.712129750257333,3.5490049897660754
1651839060,32924,32929,32922,32926,32893.653846153844,32891.14615384607,32906.25,32898.91666666657,153,146.15,3.498237831473557,11.084927039599279,7.586689208125722,11.084927039599279,7.586689208125722,3.498237831473557
1651839120,32927,32934,32921,32927,32895.11538461538,32892.44615384607,32909.416666666664,32902.39999999991,152,148.65,3.277685818971859,11.683796481840545,8.406110662868686,11.683796481840545,8.406110662868686,3.277685818971859
